filename,source_dir,seed,emitx_nm,emity_nm,n_reach,n_total
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,200.0,0.5,1064,1085484
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,200.0,0.5,1055,1152488
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,200.0,0.5,934,972144
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,200.0,0.5,893,964108
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,200.0,0.5,1015,1060324
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_238461.ref,output,238461,200.0,0.5,959,1024512
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0005_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,200.0,0.5,938,1027150
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,200.0,1.0,650,730480
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,200.0,1.0,903,983618
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,200.0,1.0,878,835799
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,200.0,1.0,786,842720
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,200.0,1.0,790,825958
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,200.0,1.0,834,909222
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,200.0,1.0,1002,1016684
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_159302.ref,output,159302,200.0,1.0,728,770314
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167029.ref,output,167029,200.0,1.0,933,1017356
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_167815.ref,output,167815,200.0,1.0,751,811318
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_238461.ref,output,238461,200.0,1.0,828,846108
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.001_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_286038.ref,output,286038,200.0,1.0,762,787602
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_100805.ref,output,100805,200.0,1.5,582,622538
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_105469.ref,output,105469,200.0,1.5,752,857776
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_130471.ref,output,130471,200.0,1.5,701,725088
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_135135.ref,output,135135,200.0,1.5,713,770882
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_143455.ref,output,143455,200.0,1.5,649,709698
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_145992.ref,output,145992,200.0,1.5,729,795196
512_512_25_test_C3_250_particles_0.624_emittx_0.2_emitty_0.0015_betax_12.0_betay_0.12_sigmaz_100_offsety_0_seed_153768.ref,output,153768,200.0,1.5,771,868900
