dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,frac_of_total_pct,reach_frac_of_total_pct,reach_pct,pt_median_MeV,pt_mean_MeV,pt_p90_MeV,pt_p99_MeV,pt_max_MeV,pt_median_reach_MeV,E_median_GeV,E_mean_GeV,theta_median_mrad,frac_pt_gt_20MeV
nominal,4.0,143455,512,512,25,100000,BH,47656,40,54.12625218635713,47.05882352941177,0.08393486654356219,3.284888274892297,7.946439984516275,22.955239789858666,44.40902566564754,181.54341580103355,19.102642634177027,0.261482,1.5727860901427313,11.31765338832123,12.959543394326003
nominal,4.0,143455,512,512,25,100000,LL,38454,38,43.67489721282057,44.705882352941174,0.09881936859624486,1.297443662757211,5.05244414164587,14.721196575250014,47.20422504362399,100.05589453507856,15.617052513655569,0.018129,0.8658605995475633,58.75224720102445,6.888750195038227
nominal,4.0,143455,512,512,25,100000,ALL,88046,85,100.0,100.0,0.0965404447675079,2.1312924667592497,6.609703547142702,20.185443179227555,45.215313680348466,181.54341580103355,17.14691603695198,0.0824271,1.240777062600209,21.61833727701021,10.13901824046521
nominal,4.0,145992,512,512,25,100000,BW,2018,8,2.257775788767062,8.791208791208792,0.39643211100099107,1.6060597373785699,4.78518395347095,13.735758965738189,37.242618633980676,58.23722886068563,12.003955322950432,0.026957500000000002,0.6298022639786918,42.35350103357989,5.550049554013875
nominal,4.0,145992,512,512,25,100000,BH,48468,50,54.22689639740434,54.94505494505494,0.10316084839481719,3.2333823511166497,7.840352761005106,22.60347288588573,44.646103412435295,259.2942334435622,13.167962928127215,0.250692,1.52866402116481,11.380316246099355,12.57943385326401
nominal,4.0,145992,512,512,25,100000,LL,38894,33,43.5153278138286,36.26373626373626,0.08484599166966628,1.2809509977955031,5.078406044063056,14.976134362301265,46.63729054267798,96.90647770686313,14.819668202644628,0.0187972,0.8934471743799044,55.98749871731212,6.993366586105826
nominal,4.0,145992,512,512,25,100000,ALL,89380,91,100.0,100.0,0.1018124860147684,2.0875761384297213,6.569503731442026,19.973847020217534,45.324930099518575,259.2942334435622,13.463300682284066,0.08275094999999999,1.2319530448294584,21.051978775371218,9.989930633251287
nominal,4.0,153768,512,512,25,100000,BW,1866,4,2.229390681003584,5.47945205479452,0.21436227224008575,1.5773550043027018,4.691960134433623,13.795046551564726,35.14959057430024,76.2048418094872,32.964933459172144,0.0245168,0.5804158657341908,48.13793408594713,5.144694533762058
nominal,4.0,153768,512,512,25,100000,BH,45428,37,54.27479091995221,50.68493150684932,0.08144756537818086,3.2862837729802483,7.891300517818635,22.81882497279536,44.788541516132184,162.03085720041537,17.54245573882838,0.24913049999999998,1.5503207804399708,11.405132069831218,12.75424848111297
nominal,4.0,153768,512,512,25,100000,LL,36406,32,43.495818399044204,43.83561643835616,0.0878975992968192,1.2547993365949928,5.080962277275547,14.996911792661626,47.34259606438737,107.30975070727659,15.345059244740188,0.0181845,0.8642952536276164,56.71777358996205,6.88622754491018
nominal,4.0,153768,512,512,25,100000,ALL,83700,73,100.0,100.0,0.08721624850657109,2.1217844887209334,6.597595103952351,20.048978393540146,45.4961944752737,162.03085720041537,16.945241655078817,0.07932739999999999,1.2303053933435364,21.734495770982708,10.03225806451613
nominal,4.0,159302,512,512,25,100000,BW,1866,10,2.2003160153762704,14.925373134328359,0.5359056806002144,1.5413419834928435,4.761125376344748,13.5921050521756,38.65858022857037,119.52321154659407,14.650746495184892,0.0258691,0.6472147156034297,51.095234167903236,4.930332261521972
nominal,4.0,159302,512,512,25,100000,BH,45886,26,54.10702072966535,38.80597014925373,0.05666216275116593,3.277600555987839,7.981111799988933,23.163446357739954,45.15164801247492,104.60870893406174,15.784705796253968,0.2574305,1.6073011944383255,11.454790944987547,13.008324979296518
nominal,4.0,159302,512,512,25,100000,LL,37054,31,43.692663254958376,46.26865671641791,0.08366168294920927,1.2747518368270614,5.044388368337873,14.819664114147015,46.867941189957335,90.06474593051247,14.467099476942,0.018113999999999998,0.8568438942658552,58.841049147405236,6.911534517191126
nominal,4.0,159302,512,512,25,100000,ALL,84806,67,100.0,100.0,0.07900384406763672,2.0992259522352206,6.627129243295794,20.220282560036388,45.71051995762113,119.52321154659407,14.75554283798186,0.0805424,1.2582814768464496,21.92448050154816,10.166733485838266
nominal,4.0,167029,512,512,25,100000,BW,2128,15,2.4222004689598653,16.483516483516482,0.7048872180451128,1.5487141102483757,4.799728550274965,14.091999566035087,37.014803370333,85.08915829196044,26.24574503538868,0.026056799999999998,0.5966430805366542,45.44314611509727,5.827067669172932
nominal,4.0,167029,512,512,25,100000,BH,47760,36,54.362920299587955,39.56043956043956,0.07537688442211055,3.337195922381203,7.90153577598378,22.870014145579134,44.58642153816209,81.30331319195489,15.152503389774843,0.2546085,1.578926021721922,11.304623825339366,12.567001675041874
