dataset,eps_y_nm,seed,n_x,n_y,n_z,n_m,channel,n_pairs,n_reach,reach_pct,median_pt_MeV,median_pt_reach_MeV
nominal,8.0,135135,512,512,25,100000,LL,29208,28,0.0958641468090934,1.2176881974565756,14.212701182910417
nominal,8.0,143455,512,512,25,100000,ALL,69186,68,0.09828578036018848,2.0788108444441438,13.863637888803165
nominal,8.0,143455,512,512,25,100000,BH,38050,34,0.08935611038107753,3.213728277994709,14.506887277411124
nominal,8.0,143455,512,512,25,100000,BW,1676,4,0.2386634844868735,1.4943355075266038,16.66690978937021
nominal,8.0,143455,512,512,25,100000,LL,29460,30,0.10183299389002037,1.2222606157496847,12.298878084456959
nominal,8.0,145992,512,512,25,100000,ALL,70714,56,0.07919223916056227,2.073518656178916,14.623268580991326
nominal,8.0,145992,512,512,25,100000,BH,39058,27,0.06912796354139997,3.1956415828548947,12.752704722156999
nominal,8.0,145992,512,512,25,100000,BW,1682,6,0.356718192627824,1.6055061383798481,19.02676163406834
nominal,8.0,145992,512,512,25,100000,LL,29974,23,0.07673316874624675,1.2266830385190102,16.559717274577885
nominal,8.0,153768,512,512,25,100000,ALL,67728,66,0.09744861800141744,2.0417064870511927,15.408551343713292
nominal,8.0,153768,512,512,25,100000,BH,37360,32,0.08565310492505353,3.177112133854263,16.407507966888385
nominal,8.0,153768,512,512,25,100000,BW,1590,8,0.5031446540880503,1.4560791181782284,19.292312575020357
nominal,8.0,153768,512,512,25,100000,LL,28778,26,0.09034679268885955,1.198006976129868,13.972126747623628
nominal,8.0,159302,512,512,25,100000,ALL,68242,69,0.10111075290876587,2.0626265188276567,13.934795864967354
nominal,8.0,159302,512,512,25,100000,BH,37848,37,0.09775945888818431,3.225414602791993,14.811024299138902
nominal,8.0,159302,512,512,25,100000,BW,1648,3,0.1820388349514563,1.6022693866257316,17.61983647668319
nominal,8.0,159302,512,512,25,100000,LL,28746,29,0.10088360119668824,1.2078550782879245,13.041798260557107
nominal,8.0,167029,512,512,25,100000,ALL,69592,57,0.08190596620301184,2.054127684093013,17.092822086079423
nominal,8.0,167029,512,512,25,100000,BH,38228,26,0.06801297478288165,3.217785856630474,15.567293883651818
nominal,8.0,167029,512,512,25,100000,BW,1586,5,0.31525851197982346,1.5029275548778316,21.732181520065893
nominal,8.0,167029,512,512,25,100000,LL,29778,26,0.08731278124790114,1.22851913713415,18.653616460214415
nominal,8.0,167815,512,512,25,100000,ALL,66258,75,0.11319387847505206,2.049902211564741,14.923944627779086
nominal,8.0,167815,512,512,25,100000,BH,36290,30,0.08266740148801323,3.1571337999878426,14.696398087122857
nominal,8.0,167815,512,512,25,100000,BW,1692,13,0.7683215130023641,1.527697841474938,14.919095807770699
nominal,8.0,167815,512,512,25,100000,LL,28276,32,0.1131701796576602,1.23256871249328,14.981985142681872
calibrated,20.0,100805,512,128,64,80000,ALL,46080,34,0.07378472222222222,2.073202459455692,16.53834069399057
calibrated,20.0,100805,512,128,64,80000,BH,25906,15,0.05790164440670115,3.208244905597996,17.34233958450245
calibrated,20.0,100805,512,128,64,80000,BW,1118,1,0.08944543828264759,1.4461451167758497,12.249394748520858
calibrated,20.0,100805,512,128,64,80000,LL,19056,18,0.09445843828715365,1.2223023786680225,16.815511377331095
calibrated,20.0,105469,512,128,64,80000,ALL,45460,39,0.08578970523537176,2.070531417306882,14.4989845931357
calibrated,20.0,105469,512,128,64,80000,BH,25580,23,0.08991399530883502,3.1778932456938103,13.949615538592392
calibrated,20.0,105469,512,128,64,80000,BW,1012,4,0.3952569169960474,1.5872280985587346,14.055127183881291
